subject,subset,t2.dice,t2.voxel_sensitivity,t2.lesion_sensitivity,t2.nlesions_gt,t2.voxel_precision,t2.lesion_precision,t2.nlesions_seg,t2s.dice,t2s.voxel_sensitivity,t2s.lesion_sensitivity,t2s.nlesions_gt,t2s.voxel_precision,t2s.lesion_precision,t2s.nlesions_seg,t2.true_negative,t2s.true_negative
47,training_t2,0.18289237092216803,0.22646310432569974,0.5,2,0.15338216286083584,0.18181818181818182,11,0.016383850204798156,0.008905852417302799,0.5,2,0.10218978102189781,0.6666666666666666,3,,
9,training_t2,0.0,0.0,0.5,2,0.0,0.5,2,0.674863387978142,0.7530487804878049,1.0,2,0.6113861386138614,0.6666666666666666,3,,
42,training_t2,0.3712355433413489,0.43645665051157784,1.0,2,0.3229727037258418,0.4,5,0.5111289890050952,0.5131933225632741,1.0,2,0.5090811965811965,0.3333333333333333,6,,
50,training_t2,0.0,0.0,0.5,2,0.0,0.3333333333333333,3,0.46767537826685,0.47156726768377255,1.0,2,0.4638472032742155,0.2857142857142857,7,,
19,training_t2,0.20153550863723613,0.16678012253233493,0.4,5,0.25458953931416695,0.4,5,0.6042311023134974,0.5541184479237576,0.8,5,0.6643090315560392,0.4444444444444444,9,,
46,training_t2,0.0,0.0,0.5,2,0.0,0.14285714285714285,7,0.0,0.0,0.5,2,0.0,0.25,4,,
68,training_t2,0.3876871880199667,0.3819672131147541,1.0,2,0.3935810810810811,1.0,2,0.7442151344590369,0.9754098360655737,1.0,2,0.6016177957532861,0.6666666666666666,3,,
33,training_t2,0.20282203576254676,0.13814803715912496,0.3333333333333333,3,0.38135192625856773,0.5,8,0.5903659647430746,0.47168115073419237,1.0,4,0.7888594544282953,0.6,15,,
24,training_t2,0.0,0.0,0.5,2,0.0,0.2,5,0.5747126436781609,0.578611332801277,1.0,2,0.5708661417322834,0.3333333333333333,6,,
73,training_t2,0.06962327134000956,0.09918478260869565,0.5,2,0.05363703159441587,0.25,4,0.6345454545454545,0.9483695652173914,1.0,2,0.476775956284153,0.5,4,,
25,training_t2,0.4802834257547751,0.3728773020808419,0.75,4,0.6745997403721333,0.6666666666666666,6,0.5517738447985905,0.4119827792394164,0.75,4,0.8351515151515152,0.4,10,,
72,training_t2,0.6209656596953266,0.7793259883344135,1.0,3,0.5160944206008584,0.75,4,0.779921568627451,0.8055735580038885,1.0,3,0.7558528428093646,0.75,4,,
64,training_t2,0.3928348733065019,0.2863636363636364,0.75,4,0.6253383865728208,0.7777777777777778,9,0.5320722815174892,0.4161157024793388,1.0,4,0.7376208614122473,0.6363636363636364,11,,
52,training_t2,0.13262910798122063,0.653179190751445,1.0,2,0.07380796864794252,0.16666666666666666,6,0.3575129533678757,0.3988439306358382,1.0,2,0.323943661971831,0.6666666666666666,3,,
27,training_t2,0.49913203308485654,0.39054010866091404,0.3333333333333333,6,0.6913719943422914,0.6666666666666666,6,0.7285968028419183,0.6554809843400448,0.5,6,0.8200719712115154,0.6,5,,
